player_name,team_abbreviation,season,games_played,minutes_per_game,per,epm,o_epm,d_epm,dpm,o_dpm,d_dpm,rapm,o_rapm,d_rapm,lebron,o_lebron,d_lebron,bpm,obpm,dbpm,ws,ows,dws,ws_per_48,vorp,bbref_ts_pct,bbref_three_point_attempt_rate,bbref_free_throw_attempt_rate,bbref_off_reb_pct,bbref_def_reb_pct,bbref_total_reb_pct,bbref_assist_pct,bbref_steal_pct,bbref_block_pct,bbref_turnover_pct,bbref_usage_pct,nba_off_rating,nba_def_rating,nba_net_rating,nba_est_off_rating,nba_est_def_rating,nba_est_net_rating,nba_assist_pct,nba_assist_to,nba_assist_ratio,nba_off_reb_pct,nba_def_reb_pct,nba_reb_pct,nba_team_turnover_pct,nba_est_turnover_pct,nba_effective_fg_pct,nba_true_shooting_pct,nba_usage_pct,nba_est_usage_pct,nba_est_pace,nba_pace,nba_pie,nba_possessions,source_basketball_reference,source_databallr,source_nba_stats,source_epm,source_lebron
Andre Drummond,PHI,2025-26,63,19.5,16.4,,,,-1.32,-2.61,1.29,-1.12,-0.8,-0.32,,,,-0.6,-0.4,-0.2,3.4,1.5,1.9,0.133,0.4,0.539,0.267,0.249,17.5,29.8,23.6,8.9,1.5,3.7,14,14.9,110.3,113.6,-3.2,109.8,112.7,-2.9,0.09,1.31,15.5,0.145,0.264,0.202,11.8,11.8,0.519,0.539,0.143,0.147,101.19,100.54,0.113,2577,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Paul George,PHI,2025-26,37,30.7,16.7,,,,1.63,0.16,1.47,2.31,0.12,2.19,,,,1.7,1,0.7,2.5,1.1,1.4,0.108,1.1,0.57,0.497,0.216,1.9,17.1,9.4,17.7,2.6,1.3,10.2,23.3,115,111.4,3.6,114.6,110.2,4.4,0.175,2.08,17.6,0.017,0.147,0.081,8.5,8.4,0.536,0.57,0.229,0.236,101.03,100.33,0.117,2374,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Eric Gordon,PHI,2025-26,6,12.3,14.4,-2.6182,-1.22045,-1.39778,-1.84,-1.71,-0.13,-0.23,-0.07,-0.16,,,,2.4,2.1,0.3,0.2,0.1,0.1,0.116,0.1,0.754,0.667,0.095,1.5,1.5,1.5,5.8,2.6,1.3,12.1,14.2,102.6,120.1,-17.6,102.8,119.3,-16.5,0.063,1,10.7,0.013,0.014,0.013,10.7,10.8,0.762,0.754,0.137,0.143,102.73,102.51,0.083,156,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,https://dunksandthrees.com/epm,unavailable_public_export
Kyle Lowry,PHI,2025-26,14,8.4,1.4,-2.5308,-1.52692,-1.0039,-3.8,-3.99,0.19,-1.63,-2.7,1.06,,,,-10.4,-8.2,-2.2,-0.2,-0.2,0.1,-0.062,-0.3,0.308,1,0.24,0,8.4,4.2,11.3,0.8,1.6,12.6,11.3,98.5,116.5,-18,100,114.4,-14.4,0.131,2.75,25.6,,0.065,0.032,9.3,9.4,0.24,0.308,0.106,0.11,105.21,105.12,0.013,262,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,https://dunksandthrees.com/epm,unavailable_public_export
Joel Embiid,PHI,2025-26,38,31.6,24.7,4.6152,3.31195,1.30324,3.53,2.57,0.96,2.86,0.96,1.91,,,,4.9,5.1,-0.2,4.1,2.8,1.3,0.163,2.1,0.605,0.228,0.481,6.7,20,13.3,21.7,0.8,3.6,11.4,33.5,119.1,113.2,5.8,118.7,111.5,7.2,0.209,1.38,13.6,0.063,0.169,0.118,9.9,9.9,0.527,0.605,0.336,0.343,101.61,100.69,0.163,2522,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,https://dunksandthrees.com/epm,unavailable_public_export
Cameron Payne,PHI,2025-26,22,17,14.4,,,,-1.27,-1.02,-0.25,-0.61,-1.24,0.63,,,,0.3,-0.7,1,0.8,0.4,0.5,0.106,0.2,0.514,0.651,0.148,0.9,12.1,6.4,21.8,3.1,1.8,6.5,19.2,105.5,113.6,-8.1,105.5,113.9,-8.3,0.22,5.27,25.4,0.007,0.103,0.055,4.8,4.8,0.483,0.514,0.183,0.189,104.5,104.63,0.096,817,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Kelly Oubre Jr.,PHI,2025-26,50,31.5,13,,,,-0.6,-0.25,-0.36,-2.43,-0.73,-1.7,,,,-1.4,-1.3,-0.1,2.7,1.1,1.6,0.083,0.2,0.58,0.439,0.267,3.4,14.2,8.7,7.3,2.1,1.4,10.2,18.2,115.2,117.2,-1.9,114.2,114.4,-0.3,0.073,1.16,10.6,0.031,0.121,0.077,9.2,9.1,0.546,0.58,0.179,0.184,102.05,100.4,0.083,3292,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Tyrese Maxey,PHI,2025-26,70,38,21.9,3.0473,4.3101,-1.26278,,,,,,,,,,5.4,5,0.5,8.7,5.9,2.8,0.156,4.9,0.588,0.399,0.278,1,11,5.9,28.9,2.4,1.9,9.2,29.4,114.9,113.4,1.5,113.3,111.4,1.9,0.288,2.7,20,0.008,0.096,0.052,7.4,7.4,0.536,0.588,0.286,0.294,101.88,100.27,0.15,5571,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,https://dunksandthrees.com/epm,unavailable_public_export
Quentin Grimes,PHI,2025-26,75,29.4,12.9,,,,,,,,,,,,,-1.6,-0.9,-0.6,3.6,1.9,1.7,0.078,0.2,0.585,0.503,0.314,2.2,11.4,6.7,15.7,1.4,1.2,13.4,19,112.3,112.4,-0.1,111.4,110.7,0.7,0.159,1.83,19.8,0.02,0.096,0.058,10.8,10.8,0.534,0.585,0.183,0.189,102.65,101.45,0.092,4667,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Charles Bassey,PHI,2025-26,1,5,21.3,,,,,,,,,,,,,7,2.8,4.2,0,0,0,0.193,0,1,0,0,0,0,0,0,0,18.8,0,8.4,83.3,97.2,-13.9,89.2,100.5,-11.3,,,,0.182,0.095,0.14,10,10.2,0.857,0.799,0.222,0.234,95.93,100.86,0.241,36,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
