season,season_end_year,team_name,team_abbreviation,wins,losses,win_pct,games_played,minutes,minutes_per_game,points,points_per_game,rebounds,rebounds_per_game,assists,assists_per_game,steals,steals_per_game,blocks,blocks_per_game,turnovers,turnovers_per_game,personal_fouls,field_goals_made,field_goals_attempted,field_goal_pct,three_points_made,three_points_attempted,three_point_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,true_shooting_pct,effective_field_goal_pct,pace,offensive_rating,defensive_rating,net_rating,db_league_overall_se_ts,db_team_actual_se_ts,db_team_playtype_avg_se_ts,db_team_playtype_diff,db_team_total_sep
25-26,2026,Celtics,BOS,56,0,0.683,82,"19,730",240.6,"9,418",114.9,"3,802",46.4,"2,021",24.6,585,7.1,410,5.0,"1,014",12.4,"1,562",42.1,90.2,46.7,15.5,42.1,36.7,15.1,18.7,80.7,12.5,33.9,58.3,55.3,94.84,120.8,112.7,8.1,,,,,
25-26,2026,Knicks,NYK,53,0,0.646,82,"19,755",240.9,"9,549",116.5,"3,740",45.6,"2,250",27.4,666,8.1,322,3.9,"1,119",13.6,"1,638",42.7,89.4,47.8,14.2,38.2,37.3,16.8,21.3,79.2,12.7,32.9,59.0,55.7,96.8,119.8,113.3,6.5,,,,,
25-26,2026,Warriors,GSW,37,0,0.451,82,"19,805",241.5,"9,398",114.6,"3,472",42.3,"2,369",28.9,796,9.7,346,4.2,"1,284",15.7,"1,608",40.9,88.8,46.1,15.7,44.1,35.6,17.0,21.1,80.7,11.4,31.0,58.4,54.9,99.02,115.0,115.6,-0.6,,,,,
25-26,2026,Pistons,DET,60,0,0.732,82,"19,805",241.5,"9,657",117.8,"3,736",45.6,"2,281",27.8,856,10.4,523,6.4,"1,241",15.1,"1,803",43.4,89.5,48.5,11.0,30.9,35.6,19.9,26.1,76.3,13.1,32.5,58.3,54.6,99.25,117.9,109.7,8.2,,,,,
25-26,2026,Lakers,LAL,53,0,0.646,82,"19,705",240.3,"9,540",116.3,"3,361",41.0,"2,122",25.9,701,8.5,351,4.3,"1,188",14.5,"1,517",42.0,83.7,50.2,11.8,32.9,35.9,20.4,26.8,76.3,9.4,31.5,60.9,57.3,98.32,118.2,116.4,1.7,,,,,
25-26,2026,Kings,SAC,22,0,0.268,82,"19,755",240.9,"9,102",111.0,"3,466",42.3,"2,095",25.5,658,8.0,372,4.5,"1,175",14.3,"1,614",41.6,89.0,46.7,10.3,30.2,34.0,17.6,22.8,77.2,11.5,30.8,56.0,52.5,99.23,111.4,121.5,-10.0,,,,,
25-26,2026,76ers,PHI,45,0,0.549,82,"19,880",242.4,"9,502",115.9,"3,579",43.6,"2,017",24.6,750,9.1,464,5.7,"1,117",13.6,"1,667",41.7,90.3,46.2,12.3,35.3,34.9,20.1,24.8,80.9,11.8,31.9,57.2,53.0,99.44,115.4,115.5,-0.2,,,,,
25-26,2026,Hawks,ATL,46,0,0.561,82,"19,755",240.9,"9,714",118.5,"3,570",43.5,"2,471",30.1,768,9.4,384,4.7,"1,162",14.2,"1,612",43.6,92.0,47.4,14.6,39.5,37.1,16.6,21.5,77.4,11.0,32.6,58.4,55.4,101.65,116.1,113.7,2.4,,,,,
25-26,2026,Wizards,WAS,17,0,0.207,82,"19,755",240.9,"9,258",112.9,"3,436",41.9,"2,054",25.0,655,8.0,452,5.5,"1,284",15.7,"1,750",41.8,90.4,46.3,13.0,36.4,35.9,16.2,21.2,76.6,11.0,30.9,56.6,53.5,101.36,111.0,122.7,-11.8,,,,,
25-26,2026,Bulls,CHI,31,0,0.378,82,"19,755",240.9,"9,537",116.3,"3,694",45.0,"2,335",28.5,627,7.6,410,5.0,"1,257",15.3,"1,561",42.4,90.5,46.9,14.3,40.1,35.6,17.3,22.2,77.6,10.4,34.7,58.0,54.7,102.53,113.0,118.1,-5.1,,,,,
25-26,2026,Spurs,SAS,62,0,0.756,82,"19,730",240.6,"9,829",119.9,"3,856",47.0,"2,303",28.1,617,7.5,447,5.5,"1,103",13.5,"1,546",43.5,89.9,48.3,13.6,37.9,35.9,19.3,24.6,78.7,11.4,35.6,59.5,55.9,99.95,119.6,111.3,8.3,,,,,
25-26,2026,Nuggets,DEN,54,0,0.659,82,"19,930",243.0,"10,010",122.1,"3,606",44.0,"2,375",29.0,560,6.8,325,4.0,"1,057",12.9,"1,569",43.5,87.8,49.6,14.2,35.8,39.6,20.8,25.8,80.8,9.8,34.2,61.6,57.7,98.36,122.6,117.4,5.2,,,,,
25-26,2026,Pacers,IND,19,0,0.232,82,"19,755",240.9,"9,219",112.4,"3,439",41.9,"2,269",27.7,605,7.4,374,4.6,"1,190",14.5,"1,710",40.8,89.1,45.8,13.4,37.6,35.6,17.4,22.5,77.6,9.8,32.1,56.8,53.3,101.0,110.9,118.8,-7.9,,,,,
25-26,2026,Nets,BKN,20,0,0.244,82,"19,755",240.9,"8,686",105.9,"3,225",39.3,"2,050",25.0,653,8.0,350,4.3,"1,292",15.8,"1,728",37.5,84.5,44.3,13.1,38.4,34.0,17.9,23.0,78.0,10.3,29.0,55.9,52.0,97.06,108.7,119.0,-10.3,,,,,
