player_name,season,season_end_year,team_abbreviation,team_name,games_played,minutes,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,true_shooting_pct,effective_field_goal_pct,per,defensive_rating,db_age,db_dpm,db_o_dpm,db_offposs,db_total_rapm,db_transition_ts,season_games_played,season_minutes,season_minutes_per_game,season_points_per_game,history_weighted_seasons,history_recent_weight
AJ Green,25-26,2026,MIL,Bucks,78.26673491366697,2225.9138,28.69421728469889,10.0178350417476,2.7368010854749323,1.8945998663653425,0.5222824228079349,0.1000000014901161,0.9226888503419832,62.610197747448105,61.296557872732585,9.263605046908785,121.9973140496674,25.25302185962016,-1.2690350821000356,-0.9412086574422358,2946.856399925314,2.400265045511483,0.5442812349043049,78.0,2270.0,29.100000381469727,10.399999618530272,3.0,0.650812855068097
AJ Johnson,25-26,2026,DAL,Mavericks,22.427884748351477,443.10092,19.89711301414046,6.874999567623254,1.800961406869099,2.2442304589374573,0.3716345767697537,0.1000000014901161,1.0149037128433829,45.61778767336834,39.87740246926389,6.71442311864576,122.473557720267,20.399999618530277,-3.4600000381469727,-2.369999885559082,1313.0,0.2130654156208038,0.5899999737739563,23.0,240.0,10.399999618530272,3.900000095367432,2.0,0.4278847483514738
Aaron Gordon,25-26,2026,DEN,Nuggets,46.02805465460072,1330.2422,28.5832710517586,15.403647250958214,5.5984388814985495,2.970366591809924,0.5990144679049121,0.3442398164449217,1.2356760513118556,62.722656763212015,58.553266011524414,17.7921264404727,118.17588154393675,29.94228007870339,2.791191208065217,2.2829802387586606,2723.247984674802,0.2634755035380031,0.6646792452254864,36.0,1005.0,27.899999618530277,16.200000762939453,3.0,0.5477465032162503
Aaron Holiday,25-26,2026,HOU,Rockets,61.25289239512628,850.77765,13.807018548543567,5.650437804768198,1.1649108431124786,1.2509690587533144,0.4447640956336989,0.1276179557309646,0.6723820441267121,58.24188713045429,55.53894821757324,10.871443515260973,116.05884945175194,28.070097574221744,-0.3363664813674242,-0.2196783751623278,1958.9544734921928,1.3409044324732258,0.5325916377468155,57.0,781.0,13.699999809265137,5.5,3.0,0.5870588091516333
Aaron Nesmith,25-26,2026,IND,Pacers,48.84427400585567,1373.1477,28.15724718199187,13.10044416512573,4.090631328645626,1.6595905886200524,0.6951305130301562,0.502267931871315,1.1715606957197089,59.090940487853445,55.5880042278598,12.094909774738747,119.25955168217897,25.10155925505697,0.6910911423823335,0.6831781679490511,2968.46916917288,1.2688931964533123,0.744134006674239,45.0,1335.0,29.700000762939453,13.800000190734863,3.0,0.5955377638587577
Aaron Wiggins,25-26,2026,OKC,Thunder,69.53131151130178,1490.618,21.491016309088813,9.897110712373204,3.260087157084442,1.6672293535858342,0.8503799221356764,0.3213575559282932,1.0614386650977554,56.780951469856525,55.002309065175695,13.378639703193542,109.6705215709781,26.10712663395554,1.4859373672483676,1.1604630071971964,3329.511566425116,2.355730099780389,0.6327616892810906,65.0,1414.0,21.799999237060547,9.399999618530272,3.0,0.6067877556984624
Ace Bailey,25-26,2026,UTA,Jazz,72.0,1988.0,27.600000381469727,13.800000190734863,4.199999809265137,1.7999999523162842,0.800000011920929,0.699999988079071,1.5,53.29999923706055,52.0,11.600000381469728,123.5,,,,,,,72.0,1988.0,27.600000381469727,13.800000190734863,1.0,1.0
Adama Bal,25-26,2026,MEM,Grizzlies,8.0,241.0,30.100000381469727,10.399999618530272,3.0999999046325684,2.400000095367432,1.100000023841858,0.1000000014901161,0.800000011920929,57.29999923706055,54.400001525878906,9.600000381469728,121.4000015258789,,,,,,,8.0,241.0,30.100000381469727,10.399999618530272,1.0,1.0
Adem Bona,25-26,2026,PHI,76ers,67.17172707455812,1137.1152,16.86993128429528,5.094482723461163,4.270551825126063,0.5,0.4000000059604645,1.2000000476837158,0.8883447752493242,66.03806715979745,63.03317098577025,13.989585214289924,114.38834646354164,22.0,-0.8199999928474426,-0.8500000238418579,1844.0,-0.5788360834121704,0.7919999957084656,71.0,1234.0,17.399999618530273,4.800000190734863,2.0,0.7055174672737006
Ajay Mitchell,25-26,2026,OKC,Thunder,52.18516061750432,1272.1525,23.690641293783692,11.972126026591882,2.979010665616321,3.187299397065769,1.0853610011011146,0.2541443963627469,1.262433144857888,58.54585578809191,54.08148293714652,15.699464695986816,109.31270099482684,23.0,-1.9600000381469729,-1.190000057220459,1223.0,0.3855140805244446,0.4880000054836273,57.0,1473.0,25.799999237060547,13.600000381469728,2.0,0.7707219341668725
Al Horford,25-26,2026,GSW,Warriors,52.73077561649905,1303.0088,24.23915931205925,8.570309689251548,5.536673189060534,2.437528431996581,0.6532225530936967,1.0207282587005089,0.8389393805803006,57.06363230490595,55.6557760283119,14.204729574757998,112.08378645211708,39.19334060294104,-0.3586562042556233,-1.2302015387834726,2597.459191781359,2.006090798894958,0.430805322138398,45.0,969.0,21.5,8.300000190734863,3.0,0.5322254828570536
Alex Caruso,25-26,2026,OKC,Thunder,55.51240571727197,1029.4438,18.537031549629987,6.45852653255609,2.8308061108219267,2.141177787343715,1.38287052860785,0.3839722411689757,0.8475683193748635,54.78655594438839,52.016627963837166,13.64739335504146,105.06700090622228,31.87154366476811,2.1059721875884128,-0.3318715075096613,2146.5525184204944,0.9106517285087936,0.6971326635892053,56.0,1020.0,18.200000762939453,6.199999809265137,3.0,0.5749888888027442
Alex Sarr,25-26,2026,WAS,Wizards,54.6787759084707,1483.9209,27.164849176697462,15.140001584299934,7.083636992495784,2.5945457079956973,0.764848551390324,1.8242427392507716,1.700000047683716,52.22061122440418,49.785458782744016,17.1151552287903,118.23757767188592,20.0,-2.9600000381469727,-2.220000028610229,3849.0,-1.128698468208313,0.5040000081062317,48.0,1305.0,27.200000762939453,16.299999237060547,2.0,0.6484854785015425
Alperen Sengun,25-26,2026,HOU,Rockets,72.05685100320706,2355.4958,32.7003723640036,20.118173160685068,9.3400743993531,5.69328984492477,1.171947848217302,0.9684995842446912,2.9606710534255543,56.41612370529781,52.9917056141536,21.47101544420909,110.48303994350772,22.265887682199043,1.1655842612632272,0.4902103740822264,4666.729117639843,0.9843374386551368,0.6114322214353715,72.0,2398.0,33.29999923706055,20.399999618530277,3.0,0.601118438003839
